Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0,0.054700809901540644,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03303526295586217,0.01,0.05,0.0,0.0,0.002,0.0
2.8084409600433805e-27,0.054700809901540644,7.294337536611238e-26,1.925552761931175e-44,1.811069407829837e-23,-1.3115478708396794e-205,3.572375692695776e-25,0.938,4.9271364689712805e-114,2.2080698997130447e-22,3.0514021830576194e-65,2.842941939034653e-25,3.0266519079816914e-23,0.0,0.0,0.03303526295586217,0.01,0.05,-7.894016386593175e-127,2.175266346302052e-143,0.002,-7.496228629813705e-220
7.863634688121465e-27,0.054700809901540644,2.0424145102511465e-25,1.1630338682064299e-43,5.0709943419235443e-23,4.6078699866584623e-203,1.0002651939548175e-24,0.938,2.9974175736850004e-112,6.182595719196526e-22,3.622624671726006e-64,7.960237429297028e-25,8.474625342348735e-23,0.0,0.0,0.03303526295586217,0.01,0.05,1.7707466531645415e-114,2.4037298842771983e-141,0.002,4.733082886473437e-217
1.7974022144277635e-26,0.054700809901540644,4.668376023431192e-25,5.5995074316958554e-43,1.159084421011096e-22,5.070571478771908e-200,2.2863204433252965e-24,0.938,1.3531775724272265e-110,1.4131647358163488e-21,3.5567143845719607e-63,1.819482840982178e-24,1.9370572211082822e-22,0.0,0.0,0.03303526295586217,0.01,0.05,3.4150114025330586e-113,2.1747140557523265e-139,0.002,1.043794639988625e-213
3.8194797056589974e-26,0.054700809901540644,9.920299049791282e-25,2.4454520076525914e-42,2.463054394648578e-22,3.7371817611414736e-197,4.8584309420662554e-24,0.938,5.1093410404193e-109,3.0029750636097415e-21,3.1458735946450823e-62,3.866401037087128e-24,4.1162465948550997e-22,0.0,0.0,0.03303526295586217,0.01,0.05,5.8459935935215335e-112,1.6458563842606189e-137,0.002,1.5389696352134247e-210
7.863634688121465e-26,0.054700809901540644,2.0424145102511466e-24,1.0209280743759089e-41,5.070994341923543e-22,2.2820069654875636e-194,1.0002651939548174e-23,0.938,1.7726677597141475e-107,6.182595719196527e-21,2.644296309402804e-61,7.960237429297027e-24,8.474625342348733e-22,0.0,0.0,0.03303526295586217,0.01,0.05,9.650822223558648e-111,1.143416452067636e-135,0.002,1.8797229622275083e-207
1.59519446530464e-25,0.054700809901540644,4.143183720795183e-24,4.1708243044534025e-41,1.028687423647347e-21,1.2739723384672623e-191,2.0291093934512014e-23,0.938,5.903723758490586e-106,1.2541837030370096e-20,2.1679538761022365e-60,1.614791021371683e-23,1.7191382837335995e-21,0.0,0.0,0.03303526295586217,0.01,0.05,1.5678266756268117e-109,7.620822228579431e-134,0.002,2.0989412037569267e-204
3.2128564582896274e-25,0.054700809901540644,8.344722141883257e-24,1.6859138696033163e-40,2.0718634025573314e-21,6.808411095295858e-189,4.086797792443969e-23,0.938,1.9270737632187894e-104,2.5260319652717238e-20,1.7556652568675415e-59,3.252325578255643e-23,3.4624897827310504e-21,0.0,0.0,0.03303526295586217,0.01,0.05,2.5274704290831904e-108,4.976688792883211e-132,0.002,2.2435379775548736e-201
6.448180444259601e-25,0.054700809901540644,1.6747798984059408e-23,6.778985520489182e-40,4.158215360377297e-21,3.5610732692772185e-186,8.202174590429504e-23,0.938,6.22796940923278e-103,5.069728489741152e-20,1.4131121381523553e-58,6.527394692023562e-23,6.949192780725946e-21,0.0,0.0,0.03303526295586217,0.01,0.05,4.059110050216776e-107,3.217268170624178e-130,0.002,2.3469693558939876e-198
1.2918828416199549e-24,0.054700809901540644,3.355395266841172e-23,2.7186763912540564e-39,8.330919276017214e-21,1.8427769709451638e-183,1.6432928186400579e-22,0.938,2.0028216271819077e-101,1.0157121538680007e-19,1.133933496173344e-57,1.3077532919559404e-22,1.3922598776715713e-20,0.0,0.0,0.03303526295586217,0.01,0.05,6.506701887815722e-106,2.069414567867073e-128,0.002,2.4290348882562256e-195
2.5860124360079444e-24,0.054700809901540644,6.71662600371164e-23,1.0888886105776201e-38,1.6676327107296992e-20,9.485298872332704e-181,3.289443537834273e-22,0.938,6.42487006486762e-100,2.033190763655772e-19,9.085266735704189e-57,2.6177809374631088e-22,2.786941076869514e-20,0.0,0.0,0.03303526295586217,0.01,0.05,1.0420423658132462e-104,1.3277515722260574e-126,0.002,2.500600060852706e-192
5.1742716247839235e-24,0.054700809901540644,1.3439087477452596e-22,4.3583921679268015e-38,3.336714276985631e-20,4.86938881899156e-178,6.581744976222705e-22,0.938,2.0584966905693154e-98,4.0681479832313147e-19,7.273737619686184e-56,5.237836228477444e-22,5.57630347526536e-20,0.0,0.0,0.03303526295586217,0.01,0.05,1.668043836227903e-103,8.50827025600879e-125,0.002,2.5674310730989377e-189
1.0350790002335882e-23,0.054700809901540644,2.6884010424934584e-22,1.7439245740404212e-37,6.674877409497406e-20,2.4964391520247875e-175,1.316634785299958e-21,0.938,6.591253629638952e-97,8.138062422382399e-19,5.821200733102619e-55,1.0477946810506113e-21,1.1155028272056892e-19,0.0,0.0,0.03303526295586217,0.01,0.05,2.669490978697672e-102,5.448706819403309e-123,0.002,2.6325454809425367e-186
2.07038267574398e-23,0.054700809901540644,5.377385631989887e-22,6.976833871647556e-37,1.335120367452059e-19,1.2790254592056478e-172,2.6335553606553375e-21,0.938,2.1098516757878298e-95,1.6277891300684568e-18,4.657845030403027e-54,2.095816797456345e-21,2.2312477865639297e-19,0.0,0.0,0.03303526295586217,0.01,0.05,4.27168223850189e-101,3.4882652133198397e-121,0.002,2.6975180829127246e-183
4.1409900267647634e-23,0.054700809901540644,1.0755354810982873e-21,2.7909606799308694e-36,2.6703856204565503e-19,6.550783725559301e-170,5.267396511366111e-21,0.938,6.752566376745852e-94,3.2557549057288905e-18,3.726629839686573e-53,4.19186103026781e-21,4.462737705280152e-19,0.0,0.0,0.03303526295586217,0.01,0.05,6.835088919671512e-100,2.2328395146053603e-119,0.0019999999999999996,2.763176161223795e-180
8.28220472880633e-23,0.054700809901540644,2.1511293168969334e-21,1.1164296998442049e-35,5.340916126464952e-19,3.3545577695748893e-167,1.0535078812787723e-20,0.938,2.160987818143159e-92,6.5116864570497564e-18,2.981445405454112e-52,8.383949495890734e-21,8.92571754271156e-19,0.0,0.0,0.03303526295586216,0.009999999999999998,0.05,1.0936460141929463e-98,1.4291292289633942e-117,0.001999999999999999,2.829962323024576e-177
1.6564634132889463e-22,0.054700809901540644,4.302316988494425e-21,4.465809656738187e-35,1.0681977138479424e-18,1.7176760575980639e-164,2.10704434156312e-20,0.938,6.915427554440871e-91,1.3023549559691485e-17,2.3852129393571505e-51,1.6768126427136554e-20,1.785167721757022e-18,0.0,0.0,0.033035262955862156,0.009999999999999995,0.05,1.7498590523452018e-97,9.14678528914615e-116,0.0019999999999999983,2.898122050403095e-174
3.312949294105573e-22,0.054700809901540644,8.604692331690204e-21,1.786342034329445e-34,2.1364099162499054e-18,8.7948661808968e-162,4.214117262131915e-20,0.938,2.212979464222297e-89,2.6047275764974918e-17,1.9081929977857804e-50,3.3536480289628083e-20,3.570359656727092e-18,0.0,0.0,0.03303526295586214,0.009999999999999988,0.05,2.799794827461779e-96,5.854057219385219e-114,0.0019999999999999966,2.9678001891934946e-171
6.625921055738827e-22,0.054700809901540644,1.7209443018084938e-20,7.145404480749068e-34,4.272834321050105e-18,4.5030648660575686e-159,8.42826310326991e-20,0.938,7.081602521178247e-88,5.2094728175541707e-17,1.5265634568093623e-49,6.707318801461069e-20,7.140743526660584e-18,0.0,0.0,0.03303526295586211,0.009999999999999974,0.05,4.479687998907268e-95,3.7466333038286986e-112,0.001999999999999993,3.0390904779516674e-168
1.3251864579005335e-21,0.054700809901540644,3.441894439088713e-20,2.8581690610030217e-33,8.545683130635598e-18,2.3055931162215302e-156,1.6856554785547512e-19,0.938,2.2661237245471506e-86,1.0418963299667491e-16,1.2212543888922659e-48,1.341466034645741e-19,1.4281511266500983e-17,0.0,0.0,0.033035262955862045,0.009999999999999948,0.049999999999999996,7.167513818229108e-94,2.3978570532158635e-110,0.0019999999999999857,3.112060947399053e-165
2.6503751625538352e-21,0.054700809901540644,6.88379471365424e-20,1.1432690781442749e-32,1.7091380749746965e-17,1.1804697939810055e-153,3.371313815010917e-19,0.938,7.251613387037705e-85,2.0837944263894005e-16,9.7700496049476e-48,2.682934343644938e-19,2.856304674607543e-17,0.0,0.0,0.03303526295586192,0.009999999999999896,0.04999999999999999,1.1468032525157333e-92,1.5346322704751996e-108,0.0019999999999999714,3.1867669435892766e-162
5.300752571860438e-21,0.054700809901540644,1.3767595262805643e-19,4.573079220071007e-32,3.4182775987731206e-17,6.044020996306719e-151,6.742630487925829e-19,0.938,2.320519078816837e-83,4.1675906192346496e-16,7.816045481496589e-47,5.365870961643045e-19,5.712611770479892e-17,0.0,0.0,0.03303526295586166,0.009999999999999792,0.04999999999999997,1.8348860373072404e-91,9.821658551605697e-107,0.001999999999999943,3.263257808793807e-159
1.0601507390473644e-20,0.054700809901540644,2.7535196361189864e-19,1.8292322695322723e-31,6.836556646274575e-17,3.0945427442844456e-148,1.348526383376598e-18,0.938,7.425665524179068e-82,8.335183004924935e-16,6.252838704229459e-46,1.073174419763811e-18,1.142522596205443e-16,0.0,0.0,0.03303526295586116,0.009999999999999584,0.04999999999999993,2.9358183263262245e-90,6.285865319626522e-105,0.0019999999999998855,3.341580313482171e-156
2.1203017027700058e-20,0.054700809901540644,5.50703985582839e-19,7.316930241176389e-31,1.3673114740895904e-16,1.5844068947639407e-145,2.697053052548757e-18,0.938,2.376213683263724e-80,1.6670367776304647e-15,5.002271891021933e-45,2.146349066962364e-18,2.285045434452286e-16,0.0,0.0,0.03303526295586014,0.009999999999999168,0.049999999999999864,4.697309855458413e-89,4.0229550354927825e-103,0.001999999999999771,3.421780423781405e-153
4.240603630215288e-20,0.054700809901540644,1.1014080295377446e-18,2.9267723291115553e-30,2.7346230928612243e-16,8.1121657547284545e-143,5.39410639090959e-18,0.938,7.603884931361512e-79,3.334073731906064e-15,4.0018178839134117e-44,4.292698361357632e-18,4.570091110673714e-16,0.0,0.0,0.0330352629558581,0.009999999999998335,0.049999999999999725,7.515696195494729e-88,2.5746916166388656e-101,0.001999999999999542,3.503904214861164e-150
8.481207485105853e-20,0.054700809901540644,2.2028161174996553e-18,1.1707089781980432e-29,5.469246329793965e-16,4.1534293601049137e-140,1.0788213067697327e-17,0.938,2.4332433612705908e-77,6.6681476404558895e-15,3.2014544556338538e-43,8.585396950140816e-18,9.140182462027539e-16,0.0,0.0,0.033035262955854024,0.009999999999996668,0.04999999999999945,1.2025114254496617e-86,1.647802760736701e-99,0.001999999999999084,3.587998343137884e-147
1.6962415194886981e-19,0.054700809901540644,4.405632293631872e-18,4.682836006100761e-29,1.0938492801217332e-15,2.1265558211090387e-137,2.157642642153706e-17,0.938,7.786379049549425e-76,1.3336295457550051e-14,2.561163624011962e-42,1.7170794127677767e-17,1.828036516037907e-15,0.0,0.0,0.03303526295584587,0.009999999999993334,0.04999999999999889,1.9240183081522563e-85,1.054593807260938e-97,0.0019999999999981677,3.6741102843566204e-144
3.3924830614449243e-19,0.054700809901540644,8.811264646729892e-18,1.873134421263423e-28,2.187698573429563e-15,1.0887964365727829e-134,4.315285313027361e-17,0.938,2.4916413430100963e-74,2.6672591091716423e-14,2.0489309231773322e-41,3.434158848263402e-17,3.656073053965764e-15,0.0,0.0,0.03303526295582957,0.009999999999986665,0.04999999999999778,3.078429315319673e-84,6.749400496245449e-96,0.0019999999999963354,3.762288434631013e-141
6.784966145357376e-19,0.054700809901540644,1.7622529356260268e-17,7.492537723991176e-28,4.375397156137846e-15,1.3782824426142747e-131,8.630570655197499e-17,0.938,7.973252374331105e-73,5.334518235996135e-14,1.6391447483942747e-40,6.868317719207593e-17,7.312146122851683e-15,0.0,0.0,0.033035262955796965,0.009999999999973329,0.04999999999999556,3.0784293230585124e-84,4.3196163597981837e-94,0.0019999999999926704,9.519649662404684e-138
1.356993231318228e-18,0.054700809901540644,3.5245058788658383e-17,2.997015098416939e-27,8.750794305924903e-15,7.065009468990012e-129,1.7261141341229084e-16,0.938,2.5514407728629105e-71,1.0669036489609994e-13,1.3113158030808607e-39,1.3736635460907738e-16,1.462429223274434e-14,0.0,0.0,0.03303526295573176,0.009999999999946656,0.04999999999999112,3.0784303136842507e-84,2.7645544846406863e-92,0.0019999999999853408,9.765115792259061e-135
2.713986464883209e-18,0.054700809901540644,7.049011770680403e-17,1.1988060419572493e-26,1.750158854298099e-14,3.617288076467882e-126,3.4522282720057502e-16,0.938,8.164610499233526e-70,2.1338072996697205e-13,1.0490526448900296e-38,2.7473270943555063e-16,2.924858434101293e-14,0.0,0.0,0.03303526295560135,0.009999999999893311,0.04999999999998223,3.0785571251264293e-84,1.769314875875443e-90,0.001999999999970681,9.999504481402613e-132
4.07097969844819e-18,0.054700809901540644,1.0573517667829913e-16,2.5474628417224668e-26,2.6252382717519053e-14,2.0632801115126458e-125,5.178342410565117e-16,0.938,3.819586584703894e-69,3.2007109503643917e-13,2.99963490909858e-38,4.120990642544943e-16,4.387287633776481e-14,0.0,0.0,0.03303526295547094,0.009999999999839967,0.049999999999973344,1.773483211065283e-80,9.917231806405352e-90,0.0019999999999560213,6.698039767134354e-131
5.427972932013171e-18,0.054700809901540644,1.4098023570314366e-16,4.345671909874476e-26,3.500317682953909e-14,1.7178522040982188e-124,6.90445654980101e-16,0.938,1.232226300257305e-68,4.267614601045012e-13,6.327098774199106e-38,5.494654190659084e-16,5.849716822299997e-14,0.0,0.0,0.03303526295534053,0.009999999999786622,0.049999999999964455,4.13771724351695e-80,3.620300203692641e-89,0.0019999999999413616,5.413936991501957e-130
8.141959399143133e-18,0.054700809901540644,2.1147035387804053e-16,8.99716169880782e-26,5.250476490685319e-14,6.191065483899916e-123,1.0356684829860557e-15,0.938,6.782749865060477e-68,6.401421902373276e-13,1.7281269059661607e-37,8.241981286710651e-16,8.774575173174734e-14,0.0,0.0,0.03303526295507971,0.009999999999679932,0.04999999999994668,5.621399177555952e-80,2.3579703745253333e-88,0.0019999999999120426,2.1163329172334063e-128
1.0855945866273094e-17,0.054700809901540644,2.8196047224912233e-16,1.5301815520758547e-25,7.00063527542662e-14,3.850613920238355e-122,1.3808913112407924e-15,0.938,2.1767651770647634e-67,8.535229203649871e-13,3.615819539614072e-37,1.098930838248533e-15,1.1699433483040798e-13,0.0,0.0,0.03303526295481889,0.009999999999573241,0.0499999999999289,9.400400103654098e-80,8.669157605696216e-88,0.0019999999998827236,1.4791421226025956e-127
1.3569932333403056e-17,0.054700809901540644,3.524505908304022e-16,2.3377716525880995e-25,8.750794035535662e-14,1.963507960669445e-121,1.726114139762082e-15,0.938,5.6878174200973174e-67,1.066903650487111e-12,6.582461296632996e-37,1.3736635477963339e-15,1.4624291748968998e-13,0.0,0.0,0.033035262954558074,0.00999999999946655,0.04999999999991112,1.6270377738777325e-79,2.553114002366189e-87,0.0019999999998534046,7.979674535384245e-127
1.8997905267662978e-17,0.054700809901540644,4.934308286367597e-16,4.4954519573309755e-25,1.225111148030972e-13,6.475260559178335e-120,2.416559797621061e-15,0.938,3.1817719865148e-66,1.493665110714402e-12,1.7379639047393252e-36,1.923128966801072e-15,2.047400814625189e-13,0.0,0.0,0.03303526295403643,0.009999999999253169,0.04999999999987557,1.9820965421490054e-79,2.142511307872105e-86,0.0019999999997947666,4.874357714600155e-125
2.9853851136182826e-17,0.054700809901540644,7.753913068089149e-16,1.0967541013573618e-24,1.9251746069927433e-13,5.186535182657173e-118,3.797451116584648e-15,0.938,3.3800664510417832e-65,2.3471880311015765e-12,6.720430921409541e-36,3.0220598044493156e-15,3.2173440405815914e-13,0.0,0.0,0.033035262952993145,0.009999999998826408,0.049999999999804465,2.6744388318133863e-79,4.116689590230454e-85,0.0019999999996774902,7.699162553519084e-123
4.070979700470267e-17,0.054700809901540644,1.0573517883965909e-15,2.0317740457062496e-24,2.6252380259294126e-13,4.733062898882346e-117,5.178342439879462e-15,0.938,1.4265767645013269e-64,3.2007109513987965e-12,1.6678433977563285e-35,4.120990641615501e-15,4.387287195143097e-13,0.0,0.0,0.03303526295194986,0.009999999998399647,0.04999999999973336,1.1386735149741122e-77,2.164771122371332e-84,0.001999999999560214,7.996202807841232e-122
