Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X2(44)
0.0,0.0505958752244895,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030556184552505618,0.01,0.05,0.0,0.0,0.002,0.0,0.0
2.9967071796493924e-27,0.0505958752244895,5.627789070715742e-26,4.435292493350703e-45,1.376109239719823e-23,-1.4523857586904529e-210,2.409866129054191e-25,0.938,1.6491329937621766e-116,2.2659613900132246e-22,1.3855962253987433e-66,1.8470872219826165e-25,3.1060050976591165e-23,0.0,0.0,0.030556184552505618,0.01,0.05,-5.803367183122847e-129,2.8895304612014294e-147,0.002,-7.459946999823231e-225,-3.7220700252240008e-149
8.390780103018299e-27,0.0505958752244895,1.5757809398004077e-25,2.678916665983825e-44,3.853105871215504e-23,5.1026766738957e-208,6.747625161351734e-25,0.938,1.0032481025850572e-114,6.344691892037029e-22,1.644979838793388e-65,5.171844221551326e-25,8.696814273445526e-23,0.0,0.0,0.030556184552505618,0.01,0.05,9.873575801052479e-117,3.193011682338314e-145,0.002,4.7101748253125176e-222,1.1398406777617456e-136
1.9178925949756113e-26,0.0505958752244895,3.601785005258075e-25,1.2897830570663844e-43,8.807099134206866e-23,5.615064434714747e-205,1.5423143225946822e-24,0.938,4.529141499507065e-113,1.450215289608464e-21,1.6150509603247754e-64,1.1821358220688746e-24,1.9878432625018347e-22,0.0,0.0,0.030556184552505618,0.01,0.05,1.9041896187754676e-115,2.8887968796319717e-143,0.002,1.038742690132354e-218,4.510512396289649e-135
4.0755217643231737e-26,0.0505958752244895,7.65379313617341e-25,5.632821466555393e-43,1.871508566018959e-22,4.138491387292209e-202,3.2774179355136996e-24,0.938,1.710117652922121e-111,3.0817074904179865e-21,1.4284942845370884e-63,2.5120386218963585e-24,4.2241669328163976e-22,0.0,0.0,0.030556184552505618,0.01,0.05,3.259690525177949e-114,2.186285031200826e-141,0.002,1.5315210461043603e-215,1.5503461561399231e-133
8.3907801030183e-26,0.0505958752244895,1.5757809398004078e-24,2.351592079974543e-42,3.853105871215503e-22,2.5270556199898727e-199,6.747625161351733e-24,0.938,5.933192567636586e-110,6.3446918920370306e-21,1.2007355193909444e-62,5.171844221551326e-24,8.696814273445523e-22,0.0,0.0,0.030556184552505618,0.01,0.05,5.381239862659635e-113,1.5188653745801259e-139,0.002,1.8706251323142087e-212,5.1248702381657757e-132
1.7021296780408549e-25,0.0505958752244895,3.1965841921665415e-24,9.607020952297356e-42,7.816300481608592e-22,1.410775254556493e-196,1.3688039613027805e-23,0.938,1.9760008458045467e-108,1.287066069527512e-20,9.844355241811503e-62,1.0491455420861263e-23,1.7642108954703774e-21,0.0,0.0,0.030556184552505618,0.01,0.05,8.742106329581863e-112,1.0123173396612343e-137,0.002,2.0887823609628388e-209,1.6660004161778945e-130
3.428233013518905e-25,0.0505958752244895,6.438190696898809e-24,3.883311471968221e-41,1.5742689702394765e-21,7.5395184071638e-194,2.756886851637994e-23,0.938,6.44999587010089e-107,2.59225983017513e-20,7.972214106964361e-61,2.1130677819481134e-23,3.5532698317220276e-21,0.0,0.0,0.030556184552505618,0.01,0.05,1.4093021619934785e-110,6.610819945700959e-136,0.002,2.2326792886236786e-206,5.3728352337824165e-129
6.880439684475006e-25,0.0505958752244895,1.2921403706363345e-23,1.5614624634540885e-40,3.159546814396709e-21,3.9434718449251805e-191,5.533052632308423e-23,0.938,2.0845272109132735e-105,5.202647351470365e-20,6.416731480237251e-60,4.240912261672088e-23,7.131387704225324e-21,0.0,0.0,0.030556184552505618,0.01,0.05,2.2633351131292975e-109,4.2736810514344446e-134,0.002,2.33561006069975e-203,1.7259680232069564e-127
1.3784853026387205e-24,0.0505958752244895,2.5887829725292423e-23,6.262162859606899e-40,6.330102502711167e-21,2.040659810089839e-188,1.108538419364928e-22,0.938,6.703527114756005e-104,1.0423422394060836e-19,5.149022901257186e-59,8.496601221120036e-23,1.4287623449231905e-20,0.0,0.0,0.030556184552505618,0.01,0.05,3.628097457611806e-108,2.74892155618476e-132,0.002,2.4172783971613876e-200,5.533754735323002e-126
