Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18)
0.0,0.05040494462592178,0.0,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.07519472733112e-26,0.05040494462592178,7.931642400807399e-24,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,8.0193764312843e-134,3.7678817419040006e-131,0.002,-3.643890090158942e-207,-2.9673644698086023e-173,5.0019867780652174e-26,6.233369167380089e-104,2.3209181945658804e-22,3.4452559922134156e-66,2.9643684928190214e-25,3.181335646468956e-23,7.635205551525496e-24,8.021185175247706e-44,-8.417955121408822e-197,-4.743835057164947e-145
8.610545236527136e-26,0.05040494462592178,2.2208598722260716e-23,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,8.589936735467732e-124,4.163614235031438e-129,0.002,2.300734774173226e-204,5.375816271548187e-171,1.400556297858261e-25,3.792062664329097e-102,6.498570944784466e-22,4.090207913955768e-65,8.300231779893258e-25,8.907739810113077e-23,2.1378575544271385e-23,4.844795845849615e-43,2.9574858642431197e-194,4.800884351293775e-143
1.9681246254919167e-25,0.05040494462592178,5.0762511365167347e-23,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,1.6566306559792807e-122,3.766925085218135e-127,0.002,5.0738486562737365e-201,2.2693612135605994e-168,3.201271537961739e-25,1.7119183511434887e-100,1.4853876445221635e-21,4.0157903845239586e-64,1.8971958354041736e-24,2.0360548137401318e-22,4.8865315529763166e-23,2.3325606489620337e-42,3.254463235637774e-191,1.0053789974462168e-140
4.182264829170323e-25,0.05040494462592178,1.0787033665098062e-22,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,2.8359062562597557e-121,2.850865696172948e-125,0.002,7.480876712032596e-198,7.299397519954753e-166,6.802702018168696e-25,6.4638779621867424e-99,3.1564487446095975e-21,3.5519211177323465e-63,4.0315411502338684e-24,4.32661647919778e-22,1.0383879550074673e-22,1.0186905172564597e-41,2.3986488890890733e-188,1.6157006331216505e-138
8.610545236527136e-25,0.05040494462592178,2.220859872226071e-22,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,4.681638233774874e-120,1.9805657229951298e-123,0.002,9.137266523693016e-195,2.0880197369743762e-163,1.4005562978582608e-24,2.2426195424517348e-97,6.498570944784465e-21,2.985603718756277e-62,8.300231779893259e-24,8.907739810113075e-22,2.1378575544271384e-22,4.2528323799163427e-41,1.464668785411359e-185,2.3099889815450474e-136
1.746710605124076e-24,0.05040494462592178,4.505172883658601e-22,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,7.60556679888772e-119,1.3200386665479753e-121,0.002,1.0202878599515638e-191,5.646095706685797e-161,2.8411284899410435e-24,7.468859407790326e-96,1.3182815345134201e-20,2.4477783112153343e-61,1.683761303921204e-23,1.806998647194366e-21,4.336796753266481e-22,1.7374207936993618e-40,8.176782738556443e-183,3.1225209844258934e-134
3.518022768066801e-24,0.05040494462592178,9.073798906523663e-22,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,1.2260822882682792e-117,8.620358067591902e-120,0.002,1.0905758364682207e-188,1.4852289025494178e-158,5.722272874106608e-24,2.437960106995677e-94,2.6551304145833675e-20,1.9822743393605417e-60,3.3912375557849604e-23,3.6394479795604835e-21,8.734675150945166e-22,7.022932637817841e-40,4.369867113325914e-180,4.106534545130631e-132
7.060647093952252e-24,0.05040494462592178,1.8211050952253783e-21,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,1.9690845366320973e-116,5.572782382918398e-118,0.002,1.1408534589973044e-185,3.8540349931897975e-156,1.1484561642437738e-23,7.879065792446898e-93,5.3288281747232624e-20,1.595506842287353e-59,6.806190059512473e-23,7.304346644292717e-21,1.7530431946302535e-21,2.8238903256867063e-39,2.285616527985203e-177,5.3277641260785876e-130
1.4145895745723152e-23,0.05040494462592178,3.648555504371402e-21,0.938,0.0,0.0,0.03044087652431814,0.01,0.05,3.1564175184382747e-115,3.5845308613260963e-116,0.002,1.1807452165956633e-182,9.933257783446187e-154,2.3009139179099997e-23,2.533789480036329e-91,1.0676223695003052e-19,1.2802937594244654e-58,1.3636095066967495e-22,1.4634143973757167e-20,3.512194553701727e-21,1.1325063221821596e-38,1.182756198110107e-174,6.865617586105082e-128
